NAME                                  CPU %               MEM %
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  90.17%              17.32%
coco-one-ros-dev                      205.11%             27.98%
streamer                              88.63%              1.39%
connectador                           12.15%              0.11%
driveui-streamer                      0.64%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    3.85%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.08%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  81.44%              17.32%
coco-one-ros-dev                      178.24%             27.98%
streamer                              86.77%              1.39%
connectador                           11.58%              0.11%
driveui-streamer                      0.67%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.34%               0.08%
coco-file-uploader                    3.25%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.43%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  83.11%              17.32%
coco-one-ros-dev                      176.08%             27.98%
streamer                              85.65%              1.39%
connectador                           11.10%              0.11%
driveui-streamer                      0.66%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    0.23%               0.49%
coco-host-handlers                    0.42%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        0.95%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  83.79%              17.32%
coco-one-ros-dev                      177.31%             27.99%
streamer                              84.45%              1.39%
connectador                           11.91%              0.11%
driveui-streamer                      0.64%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    3.82%               0.49%
coco-host-handlers                    0.24%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.13%
coco-one-docker-cloudwatchlogs        1.30%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  86.19%              17.32%
coco-one-ros-dev                      171.57%             27.98%
streamer                              87.33%              1.39%
connectador                           11.49%              0.11%
driveui-streamer                      0.66%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.26%               0.08%
coco-file-uploader                    2.55%               0.49%
coco-host-handlers                    0.30%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.13%
coco-one-docker-cloudwatchlogs        1.15%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  89.54%              17.34%
coco-one-ros-dev                      228.88%             27.98%
streamer                              94.66%              1.39%
connectador                           14.05%              0.11%
driveui-streamer                      0.66%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    2.66%               0.49%
coco-host-handlers                    0.38%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.17%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  82.84%              17.32%
coco-one-ros-dev                      233.81%             27.98%
streamer                              91.17%              1.39%
connectador                           12.47%              0.11%
driveui-streamer                      0.71%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    1.77%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.22%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  91.60%              17.32%
coco-one-ros-dev                      200.13%             27.98%
streamer                              88.63%              1.39%
connectador                           11.75%              0.11%
driveui-streamer                      0.78%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    5.28%               0.49%
coco-host-handlers                    0.28%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.11%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  88.79%              17.32%
coco-one-ros-dev                      200.67%             27.99%
streamer                              88.52%              1.39%
connectador                           11.70%              0.11%
driveui-streamer                      0.71%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.33%               0.08%
coco-file-uploader                    2.74%               0.49%
coco-host-handlers                    0.36%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.24%               0.13%
coco-one-docker-cloudwatchlogs        1.33%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.90%              17.32%
coco-one-ros-dev                      197.69%             27.99%
streamer                              90.57%              1.39%
connectador                           13.24%              0.11%
driveui-streamer                      0.76%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    0.81%               0.49%
coco-host-handlers                    0.29%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.13%
coco-one-docker-cloudwatchlogs        1.19%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  100.57%             17.34%
coco-one-ros-dev                      208.60%             27.97%
streamer                              94.48%              1.39%
connectador                           12.10%              0.11%
driveui-streamer                      0.78%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.06%               0.08%
coco-file-uploader                    1.47%               0.49%
