NAME                                  CPU %               MEM %
coco-host-handlers                    9.20%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        52.40%              0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.71%               2.61%
streamer                              98.48%              2.66%
connectador                           11.69%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      254.71%             26.70%
coco-host-handlers                    0.30%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.19%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.97%               2.61%
streamer                              95.39%              2.66%
connectador                           11.07%              0.30%
driveui-streamer                      0.79%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      180.35%             26.70%
coco-host-handlers                    0.48%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.04%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.44%               2.61%
streamer                              96.60%              2.66%
connectador                           16.34%              0.30%
driveui-streamer                      0.62%               0.37%
gateway-streamer                      0.20%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      177.30%             26.69%
coco-host-handlers                    0.27%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.48%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.42%               2.61%
streamer                              93.90%              2.66%
connectador                           11.12%              0.30%
driveui-streamer                      0.56%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      176.28%             26.69%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.08%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.16%               2.61%
streamer                              95.86%              2.66%
connectador                           11.13%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      177.76%             26.69%
coco-host-handlers                    0.27%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.24%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.02%               2.61%
streamer                              93.29%              2.66%
connectador                           11.27%              0.30%
driveui-streamer                      0.76%               0.37%
gateway-streamer                      0.23%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      175.70%             26.69%
coco-host-handlers                    0.32%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.23%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.59%               2.61%
streamer                              95.70%              2.66%
connectador                           12.96%              0.30%
driveui-streamer                      0.64%               0.37%
gateway-streamer                      0.06%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      251.63%             26.69%
coco-host-handlers                    0.36%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.33%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.71%               2.61%
streamer                              96.97%              2.66%
connectador                           11.04%              0.30%
driveui-streamer                      0.65%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      191.49%             26.72%
coco-host-handlers                    0.36%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.13%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.92%               2.61%
streamer                              93.33%              2.66%
connectador                           15.43%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.28%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      166.46%             26.71%
coco-host-handlers                    0.75%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.24%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.71%               2.61%
streamer                              90.79%              2.66%
connectador                           11.06%              0.30%
driveui-streamer                      0.68%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      183.89%             26.72%
coco-host-handlers                    0.34%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.36%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.24%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.14%               2.61%
streamer                              96.49%              2.66%
connectador                           11.57%              0.30%
driveui-streamer                      0.66%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      186.32%             26.71%
coco-host-handlers                    0.39%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.01%               0.51%
NAME                                  CPU %               MEM %
