NAME                                  CPU %               MEM %
coco-one-ros-dev                      119.11%             28.06%
streamer                              50.60%              1.39%
connectador                           2.55%               0.11%
driveui-streamer                      0.49%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    1.84%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.18%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.41%              17.32%
coco-one-ros-dev                      122.18%             28.06%
streamer                              51.79%              1.39%
connectador                           2.56%               0.11%
driveui-streamer                      0.41%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.23%               0.08%
coco-file-uploader                    3.56%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.13%
coco-one-docker-cloudwatchlogs        1.39%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  82.19%              17.32%
coco-one-ros-dev                      125.38%             28.06%
streamer                              51.04%              1.39%
connectador                           6.46%               0.11%
driveui-streamer                      0.43%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    1.93%               0.49%
coco-host-handlers                    0.46%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.10%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.74%              17.32%
coco-one-ros-dev                      118.97%             28.06%
streamer                              52.22%              1.39%
connectador                           2.58%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    4.94%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.21%               0.13%
coco-one-docker-cloudwatchlogs        1.00%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  85.87%              17.32%
coco-one-ros-dev                      220.03%             28.06%
streamer                              53.04%              1.39%
connectador                           2.72%               0.11%
driveui-streamer                      0.50%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.28%               0.08%
coco-file-uploader                    1.57%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.13%
coco-one-docker-cloudwatchlogs        1.13%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  89.27%              17.32%
coco-one-ros-dev                      125.16%             28.06%
streamer                              52.50%              1.39%
connectador                           7.22%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    8.57%               0.49%
coco-host-handlers                    0.40%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.13%
coco-one-docker-cloudwatchlogs        1.09%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  76.68%              17.32%
coco-one-ros-dev                      128.17%             28.06%
streamer                              52.23%              1.39%
connectador                           2.61%               0.11%
driveui-streamer                      0.44%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.21%               0.08%
coco-file-uploader                    8.21%               0.49%
coco-host-handlers                    0.18%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.13%
coco-one-docker-cloudwatchlogs        1.16%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.87%              17.32%
coco-one-ros-dev                      123.35%             28.06%
streamer                              50.48%              1.39%
connectador                           2.66%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.24%               0.08%
coco-file-uploader                    3.41%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        1.24%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  84.09%              17.32%
coco-one-ros-dev                      121.88%             28.06%
streamer                              51.66%              1.39%
connectador                           2.54%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    3.65%               0.49%
coco-host-handlers                    0.36%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.10%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  72.49%              17.32%
coco-one-ros-dev                      128.83%             28.05%
streamer                              51.83%              1.39%
connectador                           2.58%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    6.77%               0.49%
coco-host-handlers                    0.26%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        0.98%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  86.00%              17.32%
coco-one-ros-dev                      196.02%             28.06%
streamer                              53.57%              1.39%
connectador                           2.72%               0.11%
driveui-streamer                      0.42%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.21%               0.08%
coco-file-uploader                    3.11%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.13%
coco-one-docker-cloudwatchlogs        1.21%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  69.95%              17.32%
coco-one-ros-dev                      120.72%             28.05%
streamer                              51.18%              1.39%
connectador                           6.05%               0.11%
driveui-streamer                      0.44%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    5.35%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.13%
coco-one-docker-cloudwatchlogs        0.81%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.76%              17.32%
coco-one-ros-dev                      122.11%             28.06%
streamer                              51.37%              1.39%
connectador                           2.38%               0.11%
